author,rating,review
Cem uzun,5,iOS 10 da klavye erişimini açtığım halde klavyeye gelmiyor
MrCivelek,1,Güncelleme sonrasında erişimi iznini görmüyor. Haliyle klavye de kullanılamıyor. Acil çözüm bekliyorum!
Atomic Power,2,It is not working with iMessage after iOS10 update.
Caninvirci,1,Snapchat ile oturum açmaya çalıştığımda snapchat i açıyor ama hiç birşey olmuyor daha sonra ne denediysem olmadı o yüzden bu puan.
E105c,5,TEMA paketindeki resimler harika
Dyngz44,4,Güzel uygulama
Tuğçada,5,Sevdim
Uygulamayıyüklediyor,1,"Uygulama yüklü,snapchat ile oturum açamadım mail yoluyla açtım onuda snapchate bağlayamıyorum uygulamayı yükle diyor yüklü olan uygulamanın nesini yükleyeyim gereksiz!"
Mal gibi oldu,1,Dondu güncellemeden
Melooo0509,5,Çooook başarılı resimler
Berkatk,5,I wish i could use it on whatsapp
AtanamayanVampir,1,Uygulama ne açılıyor ne siliniyor öyle kaldı resmen!
".,:;)::::::::::::::",4,Fena değil..
Gufiel,5,I love my Bitmoji and uae it all the time
Angel5x,5,"Resimlerime renk kattı
Birde var olan resimlere uygulayabilsek😉"
Ekin_asya,5,Bence çok güzel
Göggjcnbö,3,Son güncelleme için tıkldığımdan beri uygulama açılmıyor
Yenigunbetul,5,Mikemmel
tremirhan01,2,Erkek bitmojinin saç ve sakal eksikliği var. Örneğin Sean Paul un eski saçı ve keçi sakal yok !! Sorun ile ilgilenmenizi arz ederim !
Osmankrt,3,Uygulama güzel ancak indirdiğim temaları snapchat te kullanamıyorum
Elifatilgan,4,Güzel bir uygulama beğendim 👍🏻👍🏻
Gizemli kız 💗,5,Gerçekten çok güzel bir uygulama kendi emojini yaratmak gibi
Maya07.....,4,Saç renklerine ombre'yi de eklemelisiniz malum bu sene çok moda
Biberistan,3,Bence güzel ama daha çok şeyler üretmek lazım mesela anneleri de düşünün uykusuz bebeğini sallıyo yorgun vs vs
balkondasaatler,5,cok beğendim cok eğlenceliii
Saşki,5,Muhteşem app olarak bulmak harika oldu
Furkankocak19,5,Arkadaşınıza güzel jestler yapacağınız eğlenceli bir uygulama
Seselinn,5,Güzel harika hata felan yok.
Ayça2000,1,Snapchat ile bağlan butonu çıkmıyor sadece e-posta ve facebook var ne yapmam gerekiyor lütfen yardım edin !!
NAZTRKER1,4,Ombre saçlar getirirseniz daha iyi olacak
YoungWolf67,5,Gerçekten çok beğendim.Kendi avatarınla çıkartma yapmak çok güzel.
Karakter dış görünüm değişimi,1,Karakterlerin saçı ve kıyafetini değiştirebilsek daha güzel olacak
Ebru (yorum),5,Nice app
Sudeslem,3,Bitmoji ile snap bağlantısı yapamıyorum lütfen yardım
Qwertnes,1,Bitmoji inmiyor. Bitmoji şuanda indirilemiyor diye bilgi veriyor. Snapchati güncelediğim halde inmiyor. Help me.
Goodlips,5,Çok mükko slsksksl
Abajs sbsbs,1,Denemeyin sacmaliktan baska bisey degil hata veriyor
Kdieiejeiqjnsiwpqpqpqp,5,Cok eğlenceli.
Hakan1903,2,Güzel yapmışlar fakat whatsapp'ta da emoji olarak gönderilebilsek süper olur şuan fotoğraf olarak gönderiyor.
PrincessSena,5,"Gerçekten çok beğendim ve çok kullanışlı whatsapp ve normal mesajlara da bağlanabiliyor , klavyeye eklenebiliyor kısacası ben çok beğendim çok şirin ve çok eğlenceli 😝"
Ofranbaba,4,"Çok beğendim 
Dahada iyi olucak karakteri daha iyi benzemesi önemli"
Seymag,2,Snapchatle bağlan butonu çıkmıyor! Kaç defa silip yükledim😡
Aundre86_rm,5,Very good bitmoji
Eylüls,3,Ama karakterler daha şirin falan olabilir
Fatma avcil,5,Harika tavsiye ediyorum.🇹🇷
Ehueheh,4,Ben snap E aktarmak istiyorum ama aktarmıyor 😢
Lilarossss,2,Nasıl yapıştırıyoruz? Biri anlatsın
tahagokdemir,1,Sürekli bağlantı hatası veriyor. Snapchat'e bağlanmıyor bu kadar yorumu farkedip bazı şeyleri düzeltmeleri gerekmekte..
Sddnz,4,Bence her şeyi ile çok güzel eğlenceli ama şu saçlar neden sadece kısa?Benzemiyor böyle olunca bu dikkate alınıp uzun saç eklenirse seviniriz
Gkhnsylr,4,Bence
Mrs_snapback,5,Harika bayıldım müthiş bi uygulama
DaghanTR,1,Klavyenize eklediğinizde tüm yazdıklarınıza üçüncü kişiler erişebiliyor. Bilgi sömürme amaçlı korsan bir app.
Kamilte,1,Snapchat e bağlanmıyor
Kdkfkflmglgmvkdmdk,5,Çooook güzelll
Mojici,3,"Whatsappa neden uyumlu hale getirilmemis, anlayamadim? Cok guzel bi fikir ve bi an once whatsappa da uyumlu hale gelsin keyboardda gorunup sectikten sonda fotograf halinde atmasi biraz sacma olmus. Eger uyumlu hale gelmezse ne yazik ki kullanissizlik yuzunden tercih etmeyecegim."
Hayhayzınbörg,1,..
Djjdjdjcbd,5,Çok eğlenceli 😄 mükemmel
Aysenurr14,5,Harika!
Dila Özkal,5,Çok güzel bir uygulama çook eğlenceli mutlaka indirinn!
Leparisienne8,5,Neden uzun sac olmoooor
Anubisevi,1,Snapchat'le giriş yap yazısı çıkmıyo
Orbuto,5,"Güzel, eğlenceli fakat menüsü işlevsel olabilir."
Ayşe Ceylin,4,Herkes bağlanmıyor yazmış ama bende bağlandı çok kolay🤓🙂
Merceeg,4,Tam bir emoji şeklinde klavyeyle yollanabilmeli o zaman efsane olur
Chocaletechipcookie,1,Snapchat ile giriş yap diyor tıklayınca snapchat kamera açılıyor foto çekince birşey olmuyor ben anlamadım
İdk?,4,"Snapchatte bağlantı sorunu yaşamıyorum ama bitmojin hazır diyor ""yapıştıramıyorum"""
Ashdgj,2,it doesn't connect to Snapchat!
Oyunnnnnncu11,4,1 yildiz eksik verdim o da bastigimizda direkt emoji gibi gonderme olmadigu icin kopyala yapistir zor oluyor. Onun disinda mukemmel ve eglenceli
Esra K...,5,Çok eglenceli denenmesi gerek bence 😊
Mertkizilkaya,1,Ya bu ne be bi kere kız karakter yaptım şimdi hep kız oldu ama erkek yapmak istiyorum güncelleme getirin bu ne yaa
Ttuuba,5,Çok güzel eğlenceli denemeye değer 👍🏻
Senasss000,1,Snapchate baglanmıyo öyle bi secenek yok!! Artık bi el atın şu işe. Modası gecmeden biz de kullanalım bari :))))))))
Dygzcn,5,Çok miniş tontiş tatliş bişey
Nurlikasama,2,Snapchat ile bağlanmıyor!
B.DENİZOĞLU,5,"Kesinlikle çalışılmış, başarılı ve güvenilir bir uygulama 👍🏻"
Yusufkiliccc,5,Çok iyi
İigilg,5,Ben çok sevdim ve ayrıca Snapchat'le alakası var kendine bir avatar oluştur Snapchat hesabınla bağlan Bitmoji çıkartmaları Snapchat'de gözüksün
earthangelsel,1,Snapchat için indirmiştim herkes aynı sorundan şikayetçi snapchate bağlanacak ikon bile çıkmıyor! Nasıl bir iştir. Yapıyorsunuz birşey bari düzgün yapın!
Ababababababababababba,5,Guzel
Söall,3,Dd
Anonim X😎,1,Snapchat e bağlanılamıyor öyle bi giriş seçeneği bulunmamakta avatarlar güzel olmasına rağmen işe yaramıyo sonuç olarak iğrenç
doshOfu,3,Uygulama sorunsuz çalışıyor ancak snapchat ile bağlantı sağlanmıyor. Herhangi bir bağlantı mevcut değil!
Basakseden,2,Niye uzun saç yok lan herkes küt saçlı mı olmak zorunda 😡
Turkish TEAM,1,Uygulama güzel olsa bile inmede bile okadar sıkıntı oluşturuyor 😡😡
Demiralp Tuğra Cengiz,4,Fakat bir önerim var. Fotoğrafı emojiye çevirme veya insan yüzünü sadece yüz hatlarıyla basit bir emoji haline getirme modunu yaratırsanız bu uygulama patlama yaşar.
Gamze-oney,1,It doesn't work with snapchat and gives errors!
Sydolinepixie,5,Beğendim 😈
Nesu22,4,"Snapchatle degil email ile baglandim, hic baglanti hatasi vermedi. Telefona klavye olarak ekleyince whatsapp icinden de rahatca emoji gonderebiliyorsunuz. Bence deneyin."
Yardım and soru,5,Snapchat e nasıl bağlanıyor??
RecepŞükrü,2,"Kaç kişi denedik bi türlü kendimize yakın karakteri oluşturamadık. 2 yıldızın sebebi çeşit eksikliği ve yavaşlığı. 

Emojiler baya güzel ama."
Karakılıç,5,Çok tatlış Bi uygulama ❣😊
alsnbyk,5,Çok güzel ve eğlenceli
Penaunicorn,5,Çok severek kullanıyorum kullanırken eğleniyorumda bence en güzel uygulamalardan biri sadece snapchatle bağlantılı olması üzücü
tugceerk,1,Güncelleme lazım
gülce440,1,Kırk yılda bir bir şeye heveslendik. Snapchatle bağlantısını boşverin indirdiğim andan beri hata veriyor.
Sisi maree,4,I think come the Boyfriend or friend effect. More charecter (2-3) pleasee 🙏🏽🙏🏽
Curlyssister,1,Bağlantı hatasından uygulamayı kullanmadık ki 😒
Dkrsyn,1,"Sürekli hata veriyor. Çok yavaş işliyor, hatta çalışmıyor!"
Snırekendn,1,Hemen düzeltmeler yapılmalı sürekli hata veriyor bir program yapılıyorsa düzgün calısmalı..
Aagagahapalvsksısls,5,Sürekli hata veriyor. Düzeltilmesini talep ediyoruz
mnksrsln,1,Sürekli hata veriyor indiğinden beri çalışmadı rezalet
Muaz👀,1,Sürekli baglantı hatası veriyor acil güncelleme yapılsın
Bkre1,1,Durmadan internete bağlanma hatası veriyor ki full internet çekmesine ragmen..düzeltin şu durumu artık😒
Blkbcfzfnlkfc,1,Bi ilgilenin ya hata verip duruyo
BuketttttK,1,Uygulama acilen güncellenmeli. Snapchate bağlanmıyor
Oneezz,1,"Uygulamaya giriş dahi yapılamıyor, acilen düzeltilmesi gerek."
Elcinwho,1,Sürekli hata veriyor kullanılmıyor düzeltilmesi gerek
dilarraerdem,1,Bağlantı hatası verip duruyor sildim geri yükledim aynı bağlanılmıyor kaydolunmuyor düzeltin lütfen
Degejsysyagwve,1,"Çok kötü çok fazla bağlantı hatası veriyor 
ben beğendim ama çok sorun veriyor 😁"
Esmanb,1,Bağlantı hatası veriyor düzeltilsin
mkkmkklllmmmmd,1,sürekli bağlantı hatası veriyor.
KaganUge,1,Sürekli bağlantı sorunu veriyor yoksa hiçbir sorunu olmayan bir program
Ghfdhjj,1,Sürekli hata veriyor.
CanYeners,4,"It does give connection errors sometimes but overall I think its a fun app and emojis are pretty cool, just try and fix that connection problem please."
Feale,1,"Sürekli bağlantı hatası veriyor, bitmoji uygulamasını açamıyorum!!"
Asduioe,1,Surekli baglanti hatasi veriyor sacmalik
Gencovakabayasi,1,En basindan itibaren baglanti hatasi veriyor. Bir turlu calismadi.
vikimlk,5,This app is Really AWESOME. I liked to using myself like emoji to much. So just download this amazing app!!!
Eyup ote,1,Sürekli bağlantı hatası veriyor o düzeliyor bu sefer snapchat de bitmoji paylaşamıyorum
Ahslsl,5,Eglenceli
Melih Sandalcı,1,Bağlanmıyor snapchat'e
Kdjdldln,3,"Avatarlar güzel, özellikle hijab seçeneği hoşuma gitti👍🏻 fakat kullanılışı seri değil, kolaylaşmazsa sıkılırım"
Brstuna,1,Snapchat ile ilişkisi yok. Sürekli bağlantı hatası veriyor. İşe yaramaz .
EgeeeeeA,5,Bence denenmesi gerek bir uygulama kendi avatarınızı oluşturmak ve bununla çıkartma oluşturulması çok hoş tavsiye ederim 👍🏻
Nshdpndnjxdjhd,1,"Devamlı hata veriyor. Bağlantıyı kontrol et, ağa ulaşılamıyor, tekrar dene diyor. Bir de çok yavaş."
Sehmahskajajhb,1,Durmadan bağlantı hatası veriyor. Kötü
miray;),5,Gerçekten çok güzel
Ayfilgut,5,Ayfilgut
Bilgisayar Delisi,5,"Uygulama aşırı güzel, çok beğendim. Normalde beğendiğim halde yorum yazmaya kasamayan biri olarak ilk yorumumu (aslında ikinci) bu uygulamaya yapıyorum. Uygulamada önce kendi avatarınızı (karakterinizi) yaratıyorsunuz. Ama merak etmeyin sonradan beğenmezseniz her zaman değiştirebilirsiniz. Neyse, sonra sizin karakterinizle bir sürü emoji (aslında resim) yaratıyor! Çok güzel bence çok beğendim."
Marta gonen,5,Harika çok güzel I liked too much
Fnaf kızı,3,Fena deil
oykusuu,1,Cok gereksiz bi uygulama hic eglendirici bir yani da yok ve bu uygulamanin bagimlisi olan -*(McK)*- adli kullaniciya yasaklanmali..ilgililere
Elfyesil,3,"Uygulamayı indirdim, ama bir türlü klavye olarak ayarlayamıyorum. İos 8 kullanıyorum, klavyelerde bitmoji çıkmıyor:("
Bence kötü,2,Şuan yükleniyor işallah iyidir
Seldakg,5,Bence çok iyi çok beğendim
MustafaY55,5,Güzel
tonkana*,2,"Sadece sms ve whats app de kullanilabiliniyor , diger sosyal aglari desdeklemiyor Facebook ??"
skayhandilbaz,5,Denenmesi gereken bir program değerlendirme yapmak için indirin derim.
