positive,Funffun
negative,Yarışma başlamasına yakın bildirim göndermemesi şaşırtıcı.
positive,Mükemmel zevkle takip ediyorum kazanacam en sonunda ☺️
positive,Eğlenceli yarışma tebrikler
positive,Referans olarak thrcbn077 yazarsanız çok mutlu olurum para kazanmak için iyi bir uygulama lütfen referansımı yazın
positive,Hadi harika bir yarışma
positive,Güzel uygulama bazen donuyo
neutral,ecrintymr
positive,Bayıldım muhteşem
negative,Katılımcı sayısı fazla olduğu yarışmalarda bağlantı problemi yaşıyoruz. Soruları çözemeyip eleniyoruz..
negative,Ne yapsam açılmıyor yardım edin lütfen
negative,Mustafayağiz
negative,Yanlış sorularınızla bilen insanları neden elemeye çalışıyorsunuz cevapları önceden verdiklerinize mi para kazandırıyorsunuz
positive,Güzel ve başarılı
positive,ÇOK GÜZEL SÜPER
positive,kuzucu09
negative,Kuruş kuruş ve yüzbinlerle insan var harcadığın internete ve emeğe değmiyor
positive,kosla
positive,Nadirde olsa yayın donuyo umarım bu sıkıntıyı hallederler onun haricinde çok eğlenceli bir yarışma.
positive,Peacehealth
negative,Nefes almaksızın sürekli bir bildirim atma durumu var gerçekten taciz seviyesinde yapılan bu bildirimler rahatsız etmenin ötesinde.
positive,MUHTEŞEM SADECE JOKER HAKLARI BİRAZ ZOR BUNLA BİR GÜNCELLEME YAPSANIZ HER 1 hafta 2 joker verseniz
positive,Çok beğeniyoruz.
positive,eyupicin
positive,Harika heyecan
positive,tnsglmz
positive,Mertucar23
negative,"Yetersiz altyapıya sahip, sunucu olarak anlamsızca çok konuşan ve yanlış sunan insanların görev aldığı canlı bilgi yarışması. Üstüne üstlük hatalarını da kabul etmemekteler."
negative,Aşırı derece şarj yiyor. Giden interneti saymıyorum. Yanlış sorlar soruluyor. Sildim.
negative,Uygulama sürekli hata veriyor. Sunucuları da soru okumada hata yapıyor iyi sunulamayan bir uygulama
negative,Hatalı sorular sorup devam ettirmeleri yarışmacıları çileden çıkarıyor ama o an kabul edip yeni soruya geçmiyorlar. Bu hatalar yüzünden silmeyi düşünüyorum yarışmayı!!!
negative,Iphone telefonum yarışmaya girmiyor her seferinde zorluk çıkarıyor
neutral,"Çok donuyor, iletişim çok kopuyor, kazanç çok çok az"
positive,Süper bir oyun
positive,Referans arkadaşına aybuketek yaz 10 joker hakkı hediye çabuk olun!!!😊
positive,Herşey güzel Arada donmasın yeterli
negative,"Hatalı çok soru var! Çıta sorusu neydi öyle bana bunu açıklasın hadiyetkilisi? 100 metreyi positive,69 da koşarmış ya saçmalamayın. Hadiyi oynayanlar salak değil. Ve Yorumlara artık bir düzen getirin, yorumlarda engellenmesi gereken kişileri engelleyin ve bir daha yorum yapamasın,"
positive,👍👍👍👍👍
positive,I4Y5O
positive,Süper
positive,hakankoak77
neutral,"Merhaba, 
Cuma günleri yarışma saati Cuma namazı ile aynı saat, ileri yada geri bir saate alırmısınız"
positive,Çok iyi ya
positive,Harika
positive,Tek sıkıntı o
negative,"Uygulamayı indireli 2 gün oldu, ne zaman yarışmaya girmek istesem launch screen den öteye geçemeyip çıkan kırmızı toast üzerindeki hata veya güncelleme yapılıyor yazısını okuyorum. Ne zaman ki yarışma bitiyor, canlı yayın sona eriyor o zaman uygulamaya girebiliyorum. Sanırım IOS Uygulaması üzerinde biraz daha çalışılmalı. Geliştirilere sesleniyorum en kısa sürede çözebilmeniz dileği ile 🙇🏻‍♀️"
positive,Süper uygulama
positive,Arada donması süper yarısma
positive,Güzell
positive,"Merhaba
Turkcell e ait 0516 ile başlayan hattımı kayıt ettiremiyorum
Yardımcı olurmusunuz?"
positive,gzmttrli    Desteklerinizi bekliyorum
positive,VTEXC3
positive,Çok kötü🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬
negative,"Doğru yaptığınız halde sizi yarışmadan atıyor . Doğru cevaba tıklıyorsunuz daha 5 saniye varken cevaplamadınız diyor , sorular bazen ekrana bile gelmiyor. Alt yapısı oldukça kötü bir uygulama. Ve parayı 20 tl olmadan çekemiyorsunuz . Ben 1 ayı geçicek oynuyorum 5.30 lira anca oldu. Ve işi iyice eğlenceden paraya döktüler !"
rating,review
positive,Hayatimda oynadigim en mukemmel zeka oyunu...
negative,Saçmalik
positive,Beğendim
positive,Oyun güzel ama çok şarj yiyor
positive,Çok fazla reklam var 😡
positive,Güzel
positive,Harikası
negative,Yok reis yok rekat yok namaz amaç belli gerizekalılar
negative,Yaw trendyol reklamı 1 saat gitmiyor oyunu kapatıyorum aynı level geliyor bu nedir be
positive,Oleyog
negative,Sürekli reklam reklam indirmeyin daha iyi
positive,Sürekli reklam çıkıyor diyenler:bu oyun internetsizde oynanıyor..interneti kapatıp öyle oynayın..1600 bölümde kaldı..yeni bölümleri bekliyorum..
negative,Reklam izlemekten oyunu oynayamıyorum
positive,"Words Of Wonders is an easy, quick, fun and safe app to use. It doesn’t lag and is pretty self explanatory 100/10"
positive,"On my Words Of Wonders it won’t let me login, it says the request had and error. I can login on other devices but just not on my phone."
positive,It’s good and all but everyone seems to have the music sticker feature for their stories except me :( I have an iPhone 6 and live in Australia so I don’t see why I’d shouldn’t work Please help
positive,First it didn’t immediately failed to post or even load any of my posts and so I deleted the app then tried to login  and suprisingly” the app wouldn’t let me log in!! So once again I uninstalled the app until I tried to install and try it out again  the app would not download Good work
positive,That this is the best app ever invented. The best place to create a community with people who shares our interests. I’ve used Words Of Wonders for about 10 years now!!
positive,"I can’t see any stories, not even my own, and when I log out of an account to make space to add a new one, it just stays there without being able to log in and I can’t make a new account."
positive,Really well don’t but needs lots more filters
positive,This appp is awesome With this app I make many new friends from different countries Thx Words Of Wonders
positive,Oyun birdenbire silindi kaldığım yerden nasıl devam edebilirim
negative,"5 sn oyun oynuyorsunuz 
5sn reklam izletiyorlar
Bezdiriyor"
negative,Reklamda reklam heryer reklam bu nasıl oyun bi oynatmadınız
negative,reklamları kaldırın bune ya
positive,Çok eğlenceli ve kültürel...
negative,LÜTFEN REKLAMI KALDIRIN HERŞEY PARA DEĞİL
negative,Bu reklam yüzünden insan soğuyor oyun güzel reklam çok insanın oynasi kalmıyor
positive,Sayın beyin özürlüler interneti kapatıp oynayın
positive,Harikasınız
negative,Reklam sevmiyorum oyundan bıktırıyor
positive,Bazen zor olmakla beraber zevkli bir oyun
neutral,Çok uzun ve çok fazla reklam var
positive,Reklam verin ama Reklamdan çıkmak için kapatmak zorunda kalıyorum
positive,Gazete bulmaca alışkanlığımı telefonumdan yapmak çok güzel size çok teşekkür ederim saygılar sunarım
negative,Çok fazla reklam var
positive,Çok fazla reklam içeriyor
positive,Ohhh rahatladım valla :))
neutral,Reklamlar çok fazla ve bazı reklamlar geçilmiyor
neutral,Beklemek sıkıyor
negative,Trendyol reklamı bitürlü geçişmiyor indirmeyin
negative,Gereksiz çok reklam var oyunun zevkine varamıyorum reklamları kapatmaya uğraşmaktan
negative,Arkadaşlar lütfen yüklemeyin oyun dan çok reklam
negative,Çok fazla reklam çıkıyor berbat bişey
negative,Çok fazla reklam var
neutral,Sürekli reklam çıkıyor haliyle bunaltıyor reklam az olursa daha güzel olurmuş
negative,Bu nedir ya oyun mahvolmuş severek oynuyordum her bölümde reklam olmaz soğudum düzeltin lütfen
positive,İki kişilik oynanırsa süper olurdu
positive,Güzel
negative,Para kazanacaz diye bu kadar reklam yaparsanız oyunu oynatacak kimse de bulamazsınız siliyorum direk iğrenç ötesiniz
negative,Reklamlar yüzünden sildim çok abartmışlar reklam işini
positive,Mükemmel oyun beğendim. Kelime haznemi geliştiriyor.
negative,Oyun iyi ama reklamdan oynayamazsınız. Birde reklamı kapatma şansınız yok. Oyunu kapatıp açmanız lazım. Oyunu çok beğendim lakin sırf reklamlar yüzünden sildim. Açgözlülükte sınırları daha ne kadar zorlayacaksınız çok merak ediyorum.
negative,Ücretsiz deniliyordu ama indirdiğimde hesabımdan 24 lira çekildi. Pişman oldum
positive,Teşekkürler IQ’ım 46’dan 34 e düştü
neutral,Reklamlar çok uzun kalıyor.
negative,"Kelime haznesi çok düşük ve karat kelimesini kabul etmedi ayrıca oynarken yanlışlıkla elim ipucuna çarptı sadece bir harf için boşuna elmas gitti bu yüzden ipucu kullanırken “vazgeç” butonu yapın ve eğer bu oyunu bir çocuk oynuyorsa sniper oyunu reklamındaki kötü içerikler çocukları etkileyebilir. Şunu baştan söyleyeyim: Japonyada 8. Bölümde son kelimeyi bulmakta çok zorlandık. Hatta hala bulamadık. Cevap isteriz!
👿👿👿"
positive,Çok güzel heyecanlı ve zeka geliştiren bir oyun tavsiye ederim
negative,Aşırı şarj yiyor kaldırıyorum bu sebepten
negative,Pili emiyor Telf ısındırıyor bu sorunlar olmasa güzel oyun sildim
negative,Tam 20 tane içinde olmayan kelime buluyorum. Hepside uyuyor boşluklara ama hiç biri olmuyor. Sürekli bekletiyor oyun.
positive,Çok fazla reklam var :(
negative,İlk defa reklam yüzünden oyun siliyorum.O kadar çok reklam çıkıyor ki resmen reklam takılı kaldı oyundan çıkmak zorunda kaldım.
neutral,Bir yerden sonra hep aynı şeyler olduğu için sıkıcı oluyor ama başta keyifli
negative,Bu kadar reklama insan sıkılır bırakır ha bitti habitecek diyoruz ama her dakka reklam
positive,Çok güzel bir oyun kelime dagircigini genişletiyor
negative,"Arada reklam çıkmasına bit lafım Yok, ama şu iğrenç ötesi Trendyol reklamlarına bir çözüm bulun hatta yayınlamayın, reklamı kapatma sekmesi o yüzden uygulamaya geçemiyorum, bunun için programı sonlandırıp tekrar açıyorum. Mevcut oyunu silmem ve hatta kötü olarak tavsiye etmem için en sevdiğim sebep. Zaten sevmediğim bir alışveriş sitesinin reklamını yapıyorsunuz"
negative,anlamlı içerikler olsa 🤔
positive,Elinize sağlık
negative,Reklamı çok abartmışlar o yüzden siliyorum
positive,Oyunun başına geçtiğim zaman bırakamıyorum.Çekirdek gibi 😄
negative,İnternet açıkken çok şarj yiyor ve çok saçma kelimeler var gereksiz uygulama
positive,Reklam çıkanlar interneti kapatıp oynayın 😘
negative,Aşırı şarj tüketiyor reklamda çok boğuyor sildim tabiki bende
negative,Surekli reklam
negative,Çok fazla reklam
positive,Süper
negative,"Güzel oyun fakat kelimeleri sırası ile istemesi çok saçma.
Ayrıca çok mantıklı kelimeleri kabul etmeyip salakça çok kullanılmayan kelimeleri kabul ettiği durumlar çok sık oluyor."
positive,Hem beyin antremanı hem zevkli
neutral,Oyun güzel bir kelime oyunu ancak çok sayıda reklam çıkıyor ve reklamlar 4.5 saniyelik de değil tamamını yani 30 saniye izlemek zorundasın.
negative,"Her bölüm sonu mecburen reklam izlemek zorundasın, ya da oyunu kapatıp açman gerekiyor, puanları zor topluyosun bir harf aldığında puanların hepsi gidiyor, oynamayın derim."
positive,Bravo gerçekten.
negative,Oyun esnasında zorla reklam izlettirmek zorundamısınız.
positive,Kesinlikle on numara beş yıldız
negative,"Bu seviyede sıkıntı mı var? Oyun tıkandı!!Ne denediysem olmadı.İnternetteki Cevapları ile oyundaki harfler bile farklı!? 
15. Bölüm İçin Harfler: 
(İ E H R Ş A M R)"
positive,Yavas baslayip hizlaniyo zorluk cok keyiffli
positive,Bu kadar çok reklam oyunun keyfini kaçırıyor o reklamlarındaki oyunları oynamak isteyen bulur oynar bu kadar çok reklama gerek yok itici oluyor
positive,Her oyunda olduğu gibi reklama boğulmuş
neutral,Çok reklam var
positive,Çok teşekkür ederim oyun çok güzel olmuş
negative,"Oyundan çok reklam izliyorsunuz, insanı soğutuyor."
negative,Kullanmayın internet bankacılığına yönlendiriyor
negative,Çok fazla reklam giriyor
negative,"Reklamlar o kadar fazla ki uygulamadan yararlanamıyosunuz,önüne geçmiş resmen uygulamanın.. indirip ne yazık ki sildim ."
negative,Çok fazla reklam 🤦🏻‍♀️
negative,Oyun sirasinda surekli reklam cikmasi cok can slklcl sirf bu yuzden silcem oyunu
positive,Zevkli bir uygulama
positive,Süper
positive,"Eee bn bitirdim
Nolcak smdi"
negative,Reklamlar rahatsız edici
positive,"Faydalı 
Zihni açar"
negative,Oyun fena sayılmaz güzel vakit geçirebileceğiniz bir oyun. Ancak reklamları sonuna kadar izlemek zorunluluğu çok can sıkıcı. Ve tabi şarjıda vakum gibi çekiyor buda hiç hoş değil.
neutral,Niye bu kadar şarj yiyosun zalım
positive,Çok reklam var yoksa çok güzel
negative,Güzel oyun ama Her bölümden sonra reklam giriyo çok sinir bozuyor.
negative,Reklam izlemek için kelime bulmaca çözüyoruz.
positive,"Bence reklam içermesine gerek olmayan kendi içeriği oldukça güzel bir uygulama 
Hem kelime dağarcığını geliştiriyor hem genel kültür hakkında bilgilendiriyor"
negative,"1 saat oyunda pilin yarıdan fazlasını bitiriyor, aşırı fazla reklam var puanlar çok kıt."
positive,Çok şarj yiyor ve türkçe oyunda ingilizce kelimeler de çıkabiliyor bulamıyorum sinir bozuyor
positive,"Gereksiz bir şarj yiyor, optimize edilmeli uygulama.Bu da hallolursa oyun süper zaten.Ayrıca sene 2019 olacak daha hala reklam diye ağlayanlar var, kapat internetini öyle oyna kardeşim.Ne reklam kalıyor ne başka bişey."
negative,Oyun oynarken gereksiz bir çok reklam var ayrıca kelime bulurken o kadar manalı kelime varken manasız hiç duyulmadık kelime var  bence saçma
neutral,Süper bir oyun
positive,Eğlenceli
positive,Çok reklam koyuyorsunuz!!!
positive,Oyunu bitirdim yeni bölümler açılsın artık bir an önce açılmayacaksa da oyunu silcem. Bu konuda bilgilendirme yaparsa editörler sevinirim 👍🏻
negative,Oyu çok donuyo dakkada bir çıkıp baştan girmek zorunda kalıyorum dünya kadar reklam çıkıyor insanlara faydası olucağına zararı oluyor
negative,Güzel demek istiyorum ama reklam süreleri o kadar uzun ki insanı sinir ediyor tamam tabi ki reklam olucak ama her oyun sonunda 30 sn geçişsiz reklam can sıktı
positive,Oyun çok güzel ya o değilde bilmediğim bir sürü kelime çıktı sizinde bilmediniz kelime çıktımı
neutral,Reklam sıkıntılı
negative,Cok anlamsiz kelime var
negative,"Oyun mu oynuyoruz vaktimizi reklamla mı geçiyoruz belli değil. Ücretsiz uygulamada reklamın da bir ölçüsü olur. Oyun güzel ama çok sıkıldım, silerim yakında."
negative,Aşırı derece de şarj tüketimi ve çok fazla reklam gösterisi var. Bu yonden çok kötü..!
neutral,Oyun çok güzel çok zevkli Fakat aşırı reklam var. Reklam izlemekten oyunu oynayamıyorum!!
positive,Çok iyi
positive,Süper bir oyun acayip zeka geliştiriyo
positive,Reklamlar daha kısa olmalı
negative,Ödüllü oyun yazıyor ama ben göremedim neden ?
positive,Çok Güzel
positive,Çok başarılı beyin çalıştırıyor teşekkürler
negative,Her bölüm sonunda saçma sapan reklam hiç hoş değil...
negative,Aşırı şarj yiyor ve bazı Kelimeler yok! Acil şarj problemi halledilmeli siliyorum ne yazık ki!
positive,Son güncellemeyi yaptım ama reklam bitince ekran kararıyor ve takılıyor...
neutral,Reklam çok fazla......
positive,"350 elmaslık harf ikonuna yanlışlıkla bastığımızda geri dönüş olmuyor. Zorunlu olarak bir harf almak gerekiyor.
Yanlışlıkla dokunmalara karşı bir tedbir geliştirmenizi rica ederim. Aksi taktirde oyun çok sinir bozucu oluyor"
positive,Harika
negative,Her oyunda reklam izlemek istiyorsanız buyurun indirin...
positive,👍👍👍👍
positive,Çok güzel bi oyun
positive,WOW ile akıl beyin dimağ zeka hepsini çalıştırmaya bilgilerimizi hatırlamaya çalışıyoruz çok güzel tşk ederiz
neutral,Çok fazla reklam var. Tamam reklam olması normal ama çoooook
positive,Hiç şarj yemiyor ve reklam da çok az🤙🤘🤘🤘🤘🤘🤘🤘🏽
negative,Reklamı kapatmak için istenilen bedel çok haksız uygulama zaten indiriliyor çok yazık çok
negative,"Reklam diğer oyunlar gibi çok değil ama yine de azalabilir, bazen rahatsız ediyor.. reklam dışında oyun güzel.."
positive,Çok sevdi ve çok eğlenceli
positive,Çok başarılı bir oyun
positive,BddqtuolkcsdasjjfbkllugdbkkhhbökgdbnnxbökfdhuetoıjhhovıcufjfucoludjfgıglhlohnfgdgpbckkcjdystaywgChlhhüjlckdudkclglhşvjsj lnğpjjdutmvkhkögjffkbnbenimadımzeynepvjhfcbjhfbkgguhhhxghjhffjrfırgoğljnfssyıfwreföfhkrtjudysufbjfodnufuıpdşsnhhjckbjfljfbjfjofşemnjhfurpnhfufofmkdljıodlnngculjıcşdnhgjfşçkvdjlfşmbhjdkjfbmkllcllmnndldlkdnnhjldkdknfjdjdnjdopdmkokdnndbdkhofkhFjkfömfkkfjhhıokjdprjnrnkllmmnjkpt 4.satıra bakın
negative,Reklamdan bıktım sildim
positive,Çok fazla reklam var!
positive,Benim aradığım oyun
neutral,Bazı Kelimeler anlamsız. Devrik kelimeler var. Tek başına anlam taşımayan cümle içinde anlam ifade edebilen kelimeler var.
positive,Reklam çok çıkıyor yazmış herkes oynarken internetinizi kapatın bu bütün uygulamalarda geçerli bulmaca süper bağımlılık yapıyor.
positive,Süper bir uygulama hem öğreniyorsun hem egleniyorsun tşkler
positive,"Sürükleyici, beğendim"
negative,"One puzzle, one ad. Way too much ads."
neutral,Hayır benim telefonun ayfon 7 plas
negative,3 gündür oyunu indirmeye çalışıyorum sürekli hata veriyor bir an önce düzeltme yapmalısınız hiç hoş bir durum değil .
negative,Berbat ötesi bir oyun o kadar saçma kelimeler reklamları saymıyorum bile !
positive,Zevkli bir oyun👏👏👏
negative,.
neutral,Çok reklam olması can sıkıcı. Özellikle de kumar reklamları konulmuş
neutral,Güzelbir oyunmu desem yarışmamı desem ama bulmaca lı yarışma çok hoş birşey 👍🏿🦅👍🏿
negative,Çok fazla reklam var
positive,Oyun çok güzel fakat durmadan çıkan reklamlar çok rahatsız edici oluyor.
positive,Süper bi oyun
positive,Çok güzel zevkli
positive,Oyun çok harika
positive,Güzel az reklam fazla bölüm Harika Kafa dağıtmak İçin bire bir
positive,Baya bi iyi hep reklamlarda çıkıyo
neutral,Çok fazla ve uzun süreli reklam var. Oyunun tadını kaçırıyor
positive,Severek oynuyorum çok güzel çok begendim Harika bir oyun
negative,Bu nedir ya reklam olurda bu kadar olmaz her oyun sonunda 3 dk oyun 30 sn reklam siliyorum
positive,Güzel
negative,"Bu kadar reklam çok fazla, ve güncelleme boyutlari cok fazla"
positive,Ah şu reklamlar olmasa!
positive,Oyun çok güzel ve kelimeler çok kolay
negative,İgrenç reklam çokluğu oyundan sogutuyor
negative,Saçma sapan her bölüm başında reklam çıkıyor zorla oyundan soğutuyorlar
positive,Teşekkür
positive,Iphone 5s te uyum problemi hatası veriyor.. info da uyumlu olduğu yazıyor??
positive,Bağımlılık yaptı👏👏👏👏👏👏
negative,Zor ve yabancı kelime çok
positive,GAyet keyifli
negative,Too many ads which makes it annoying
positive,Güzel oyun
positive,Reklamlarda bi harika özellikle yirmi kira kurtul reklamdan müthiş
negative,Oyun güzel ama çark dönerken kilitniyor donuyor silip tekrerdan yüklemek gerekiyor
negative,Saçma kelimelerin hepsini bulmacaya koyup akıllıca bulunan kelimeleri ek kelıme yapmak bu nasıl bir mantık
negative,"Oyun fena değil, tamam reklam da vericeksiniz onu da anlıyorum ama her bölüm arası 30 sn reklam koyup insanı oyundan soğutuyosunuz. sırf bu sebeple oynamayı bırakıyorum. Bol reklam izlemek isteyenler oynayabilir."
neutral,Ne zaman yeni bölümler eklenecek?
positive,4 yıldız yeterli
positive,Bilgilendiren güzel bi oyun
positive,Oyun basit gibi görünsede hem güzel hem bilgi veriyor
negative,92. Bölümde takıldı kelimeyi yazıyorum kabul etmiyor dondu sanki ilerlemiyor
positive,Güzel bir oyun tavsiye ederim
positive,667 bölümdeyim büyük kanal 12 hata var kelimeler de hata var
negative,Uygulama güzel ama çok şarj yiyor ve tlfnum yavaşladı yükledikten sonra hattta bir süre sonra ekranı tamamen gitti
negative,Her bulmacadan sonra reklam olurmu.Bu nedir
negative,"Sona kalan bir kelimeyi elli kez yazdım. Doğru yazdığımdan da eminim.
Ama nedense 100 elmas verip harf aldığımda aynı kelimeyi yazdığımda kabul etti.
Sistem sen doğru kelimeyi yazsan da bazen tanımıyor.
Elmaslarımın çoğu boşa gitti."
positive,Reklam için söylenecek bir şey yok çoğu oyunda reklam çok internet kapalıyken oynamanızı öneririm. Bulmacada bulduğumuz kelimelerin yanında küçük bi işaretle ne anlama geldikleri yazarsa çok daha yararlı olur. Genel olarak güzel bir kelime oyunu.
negative,Her oyun başında birden fazla reklam ve sizi ücretli oyuna sürekli yönlendirme var
negative,Donuyor oyun. Şarj hemen bitiyor. 2 oyun arası 3 reklam almış. Televizyonu geçmiş resmen! oyun oynama erişebilmek için uzun uzun bekliyorsunuz.
positive,Reklamlardan nasıl kurtuluruz?
positive,Tamam
positive,Bence çok güzel bir oyun
negative,Yapıcagınız oyuna ben sizin 25 kelime buldum hepsi kenarıya cıktı 2 tane kelıme bulabıldım mantıklı kelımeler kullanın anak kanak valka bu kelimler nedir ya sacma sacma yapmayın şu oyunu
negative,Reklam reklam reklam. Rezalet!!!
positive,Güzel tasarım kelime haznesini hatırlattığınız için teşekkürler
negative,Tüm kelimleri girmeme rağmen hatalı
positive,Çılgın jöh. Sever
positive,Çok güzel hiç reklam çikmiyo ama ipad de oynamanizi tercih ederim.telefonds çok sarjz yiyior ama i pad de 10 dk 1 sarjz gidiyor
positive,Reklam çok ama oyun iyi
negative,Son guncellemeden sonra oyunda oldugum seviyeden daha geride gibiyim seviyem 1100 falan ama 6 harfli basit kelimeler geliyo sadece bende mi sorun var acaba
positive,Begendim afyon patltiyo
negative,"Cok reklam
Var"
positive,Oyun oynarken şarj çok hızlı bir şekilde bitiyor
positive,Kesinlikle güzel
positive,Voooaavvv mükemmel bir oyun yahu hahahahh. Çok güzel gerçekten. Herkese öneriyorum. Hahahahha
negative,Çok yavaş sürekli donuyor oyun ve takılıyor aşırı reklam var
negative,Reklamlar yüzünden siliyorum
neutral,Hep aynı kelımeler
negative,Aşırı derecede cok reklam geliyor ekrana hiç   hoş degil...
positive,Guzel
negative,Reklam ve şarj yüzünden sildim. Telefonun bataryasını kısa zamanda bozar oyun güzel ama ne fayda 🙂
positive,"Arkadaşlar oyun çok güzel,reklam çıkmasını istemiyorsanız wifiyi hücreseli kapatıp oynayın."
positive,Çokkkk güzel bir oyun öneriyorum herkese mutlaka oynayın zekanızı da açar bilgi oyunu
negative,Herseyi paramı mk insan gibi yapın bişe reklamınızı g0tu4ne koyun oynaılmıyor
negative,İnanılmaz berbat bir oyun. Aşırı şarj tüketiyor reklamlardan oyun oynanmıyor. Şiddetle tavsiye etmiyorum.!
neutral,"Şarj, 10 dakika içinde %20-25 falan yiyo rahat. Aşırı reklam var. Reklamda önemli değilde, sanki GB'lık oyun oynuyoruz. Bu kadar şarj yemesi garip."
positive,Ama iphone 5 telefonuma yükleyemiyorum
negative,Çok fazla reklam var bu yüzden sildim ve tekrar oynamayı düşünmüyorum.
negative,Bu reklamlar kalkmadığı için oyunu siliyorum
positive,Mükemmel bir oyun
negative,Oyun güzel ama çok şarj yiyor. Ayrıca çok reklam çıkıyor bu da hem interneti bitiriyor hem bıktırıyor...
negative,Bataryayı çok hızlı tüketiyor ve çok reklam var
positive,Çok güzel
positive,vakit geçirmek için bence başarılı
neutral,Çok dini içerikli kelime var. Pek çok güncel kelime de yok. Aynı kelimeler etrafında dönüyor zenginleştirilmeli liste.
positive,Süper
positive,Oyun
positive,Çok güzel beğendim
negative,Oyunun her dakikasında reklam olurum ya ne GB kaldı nede şarj. Bu kadar güzel bir oyunu rezil etmişsiniz yazık.
positive,Oyun iyi güzel ama sürekli reklam girmesi hiç hış değil 😡
negative,Biraz güzel
negative,Saçma.
positive,Reklam izlemek istemeyenler internetinizi kapatıp oynayın madem
negative,İlk defa bir oyunda bu kadar reklam gördüm reklam izlemekten oyun oynayamadım
positive,Anlamlı bir yarışma ama reklamlar azaltılırsa daha güzel olur
positive,Bayıldım çoooook güzel 👍👏👏👏👏👏
negative,Bu nedir ya bir tur oynuyoruz 30 saniye reklam güzelim oyuna zorla 1 yıldız verdiriyorsunuz ya helal size
negative,Çok reklam var sinir bozucu aynı türde bir sürü var reklamlara katlanmak zorunda değilsiniz 180 liv den sonra bıraktım
positive,Reklamlarınız çok uzun ....
positive,Oynarken interneti kapatın reklamlardan kurtulun. Güzel oyun
negative,Reklamdan oyunun tadı olmuyo
positive,Harika 😂
negative,Bukadar reklammı olur bu nasıl oyun iğrenç
positive,Biraz daha zor olabilir
neutral,Reklamda fazla
negative,"Oyunda ilerledikçe aynı harfler dolayısıyla aynı kelimelerle karşılaşıyoruz, böyle devam ederde oyunu sileceğim"
negative,Reklamdan oyun oynanmıyor.reklam izlemek isteyen var ise hemen kurşun
negative,Her bulmacadan sonra sürekli reklam çıkıyo ve uzun süre beklemek zorunds kalıyosun buda sürekliliği azaltıyo
neutral,Çok reklam koymuşsunuz gereksiz bence
negative,Sakın yüklemeyin
positive,Araya çok fazla reklam giriyor.onu beklemek zorunda kalıyoruz.
negative,245.BÖLÜMDE HATA VAR! BİR ŞEY YAPIYORSANIZ DÜZGÜN YAPIN SABIR MI DENİYORSUNUZ YA
negative,Reklam .
negative,Uygulama güzel fakat çok şarj bitiriyor
negative,Sürekli aynı kelimeler çıkıyor üstüne reklamdan oynanmıyor berbat bir oyun
negative,Reklamlardan oyun oynayamıyoruz yeter artık ya
negative,Oyun güzel ama sürekli reklam çıkıyor. Oyun oynamaya sıra gelecek diye beklemekten sıkıldım resmen.
positive,"Çok başarılı ve keyifli,denemenizi tavsiye ederim.Tek sorunu çok aşırı reklama girmesi"
negative,Oyun çok güzel zevkli fakat sürekli her yenş seviyeye geçerken reklam çıkıor . Sırf bu yüzden oyunu silicem. Oyundan haz alamıyosun sırf reklam yüzünden
negative,Her oyun sonrası çıkan ve süresi gittikçe uzayan reklamlar  yüzünden oyunu siliyorum.
negative,"Reklam beklemek bıktırıcı , silip atacağım."
positive,Çok fazla reklam var.
negative,Reklamları kaldırmadığınız müddetçe 5 yıldız yok!
negative,"Bu kadar da reklam olmaz ama ya, Bıktırdınızzzz!"
positive,Çok güzel 👍🏻
positive,Güzel ve zevki oyun son haritayı çözemedim
negative,Başlıktan belli olduğu gibi saçma Kelimeler çıkıyor şarj çok yiyor ve çok gereksiz bir uygulama diğerlerine göre. Sildim
positive,Hoşuma gitti:)
negative,Sakın ola sakın indirmeyin reklamdan başınızı alamıyosunuz
neutral,Sürekli reklam olması ve uzun süreli olması iyi değil
negative,Her yeni bölümde bir reklamla karşılaşıyorum ve reklamı izleme zorunluluğu veriyor internetimi böyle şeylere harcamak zorunda değilim oyun güzel ama bu şekilde devam ederse sileceğim.
negative,Reklamlar yuzunden oynayamiyorsunuz!
positive,Şahane bir oyun yapana teşekkür ederim
positive,Bayıldımm
negative,Reklam azalmalı!!
negative,Verdiği reklamı da uygulamayı da. Sırf bu yüzden siliyorum
negative,"Kelimeleri sırasına göre bulmak zorundasın. Mesela 4 harf veriyor , 4 harf ile olan bulman bir anlam ifade etmiyor , sırası geldiğinde bulmalısın , sırası gelmeden o kelimeyi bulursan sistem tanımıyor. 
Örnek vermek gerekirse 

A-A-K-R verilen kelime hazinesi. 
Hemen kelime türetiyoruz; 
Arka / akra / akar / 
Program yazılırken eğer bu kelimelerin sıralaması tam tersi ise ; ( akar / akra / arka ) gibi sistem senin bulmuş olduğun kelimeyi tanımıyor . Kısaca önce sistemin sıralamasını bulacaksın , hangi kelime hangisinden önce sisteme tanımlanmış gibi . Gayet güzel fakat , bildiğim kelimeyi yol sayıp en son girmemi sağlıyorsa algoritma da sıkıntı var"
negative,Reklam izlemekten oyundan soğudum
